X,favoriteCount,replyToSN,truncated,replyToSID,id,replyToUID,screenName,retweetCount,isRetweet,retweeted,,,,,,
1,0,0,NA,0,NA,8.01495656976318E+017,NA,HASHTAGFARZIWAL,331,1,0,,,,,
2,0,NA,0,NA,8.01495654778413E+017,NA,PRAMODKAUSHIK9,66,1,0,,,,,,
3,0,NA,0,NA,8.01495544266822E+017,NA,rahulja13034944,12,1,0,,,,,,
4,0,NA,0,NA,8.01495527024161E+017,NA,deeptiyvd,338,1,0,,,,,,
5,0,NA,0,NA,8.01E+017,NA,CPIMBadli,120,1,0,,,,,,
6,0,DerekScissors1,0,NA,8.01495326439965E+017,2586266100,ambazaarmag,0,0,0,,,,,,
7,0,0,NA,0,NA,8.01495248710967E+017,NA,bhodia1,637,1,0,,,,,
8,0,NA,0,NA,8.01495113092497E+017,NA,KARUNASHANKEROJ,112,1,0,,,,,,
9,0,NA,0,NA,8.01495064270795E+017,NA,sumitbhati2002,1,1,0,,,,,,
10,0,NA,1,NA,8.0149502764594E+017,NA,HelpIndia2016,0,0,0,,,,,,
11,1,NA,0,NA,8.01494974844043E+017,NA,sumitbhati2002,1,0,0,,,,,,
12,0,NA,0,NA,8.01494883068318E+017,NA,MonishGavand,120,1,0,,,,,,
13,0,Jaggesh2,0,8.01482081511449E+017,8.01494840018108E+017,1225924610,yuvaraj_karki,0,0,0,,,,,,
14,0,NA,0,NA,8.01494687345324E+017,NA,PMKejri,45,1,0,,,,,,
15,0,NA,0,NA,8.01494679258677E+017,NA,hkgupta16,50,1,0,,,,,,
16,0,NA,0,NA,8.01494366917231E+017,NA,aazaadparinda,45,1,0,,,,,,
17,0,NA,0,NA,8.01494276513202E+017,NA,darkdestinynme,12,1,0,,,,,,
18,0,NA,0,NA,8.0149426204724E+017,NA,snoovemehrotra,95,1,0,,,,,,
19,0,NA,0,NA,8.01494094073598E+017,NA,Vishwaamitra,76,1,0,,,,,,
20,0,NA,0,NA,8.01494048892654E+017,NA,PoliticalCooper,12,1,0,,,,,,
21,0,NA,0,NA,8.01494031326908E+017,NA,MdShuaib7,66,1,0,,,,,,
22,0,NA,0,NA,8.01493936137064E+017,NA,BharatParivrtan,12,1,0,,,,,,
23,0,NA,0,NA,8.01493914985316E+017,NA,ihavnthandle,95,1,0,,,,,,
24,0,NA,0,NA,8.01493886694781E+017,NA,GajjarBharatc,53,1,0,,,,,,
25,0,NA,0,NA,8.01493828024889E+017,NA,Rss_chaddi_waLL,66,1,0,,,,,,
26,0,NA,0,NA,8.01493782621352E+017,NA,mukeshrai881,12,1,0,,,,,,
27,0,NA,0,NA,8.01493691160404E+017,NA,mrx565,20,1,0,,,,,,
28,0,NA,0,NA,8.01493575020122E+017,NA,iMirzaG,12,1,0,,,,,,
29,0,NA,0,NA,8.01493555655147E+017,NA,PontiFukEx,20,1,0,,,,,,
30,0,NA,0,NA,8.0149349492564E+017,NA,sehgal_indian,7,1,0,,,,,,
31,0,NA,0,NA,8.01493484658049E+017,NA,BoscoUnchained,66,1,0,,,,,,
32,0,NA,0,NA,8.01493470103777E+017,NA,meghnabasu2,11,1,0,,,,,,
33,0,NA,0,NA,8.01493313895404E+017,NA,trollabhakt,6,1,0,,,,,,
34,0,NA,0,NA,8.01493273550299E+017,NA,manni_1986,76,1,0,,,,,,
35,0,NA,0,NA,8.01493047988994E+017,NA,GHOSTBUSTOR,1,1,0,,,,,,
36,0,NA,0,NA,8.01492685123002E+017,NA,sradeep_d,0,0,0,,,,,,
37,0,NA,0,NA,8.01492452293149E+017,NA,kvQuote,20,1,0,,,,,,
38,0,NA,0,NA,8.01492360744108E+017,NA,AnandMiishra,0,0,0,,,,,,
39,0,NA,0,NA,8.01492217525244E+017,NA,CineMaakiKasam,95,1,0,,,,,,
40,0,0,arunjaitley,0,NA,8.01492197690331E+017,2183816041,navsinfosec,0,0,0,,,,,
41,0,0,NA,0,NA,8.01492103100387E+017,NA,RN_BJP,41,1,0,,,,,
42,0,NA,0,NA,8.0149205413195E+017,NA,mukeshrai881,9,1,0,,,,,,
43,0,NA,0,NA,8.01491891372036E+017,NA,prateek1013,76,1,0,,,,,,
44,0,dineshgrao,0,NA,8.01491870245388E+017,347102273,ShankareGowdaM,0,0,0,,,,,,
45,0,NA,0,NA,8.01491856626332E+017,NA,zailetblog,0,0,0,,,,,,
46,0,NA,0,NA,8.01491744323871E+017,NA,draksbond,76,1,0,,,,,,
47,0,NA,0,NA,8.01491688757695E+017,NA,kmvatreni1,59,1,0,,,,,,
48,0,NA,0,NA,8.01491655899627E+017,NA,PramodKr7227,12,1,0,,,,,,
49,0,NA,0,NA,8.0149162390127E+017,NA,neelmani1980,4,1,0,,,,,,
50,0,NA,0,NA,8.0149159968324E+017,NA,smsivanesan,30,1,0,,,,,,
51,0,NA,0,NA,8.01491579546407E+017,NA,JOYEEE990,1,1,0,,,,,,
52,0,NA,0,NA,8.01491507974996E+017,NA,n2r3ndr2,30,1,0,,,,,,
53,0,NA,0,NA,8.01491503885517E+017,NA,aakuraj,76,1,0,,,,,,
54,0,NA,0,NA,8.01491492137075E+017,NA,mayankjain100,1,0,0,,,,,,
55,0,NA,0,NA,8.0149149076154E+017,NA,ceradevcera,20,1,0,,,,,,
56, have multiplied bad weal…,0,0,NA,0,NA,8.01491483354284E+017,NA,JOYEEE990,1,1,0,,,,
57,0,NA,0,NA,8.01491346661974E+017,NA,twety_swety,95,1,0,,,,,,
58,0,NA,0,NA,8.01491303229817E+017,NA,ESchool_India,0,0,0,,,,,,
59,0,NA,0,NA,8.01491187182014E+017,NA,InnovativeHindu,29,1,0,,,,,,
60,0,NA,0,NA,8.01491158048408E+017,NA,pratyushmayank,0,0,0,,,,,,
61,0,NA,0,NA,8.01491138792129E+017,NA,monojsaha6,15,1,0,,,,,,
62,0,0,NA,0,NA,8.01491043438838E+017,NA,NV_Handle,637,1,0,,,,,
63,0,NA,0,NA,8.01491040821715E+017,NA,InnovativeHindu,30,1,0,,,,,,
64,0,NA,0,NA,8.01491021813187E+017,NA,InnovativeHindu,19,1,0,,,,,,
65,0,NA,0,NA,8.01490823665725E+017,NA,Minoritygender,120,1,0,,,,,,
66,0,NA,0,NA,8.01490667545489E+017,NA,BsBaban,270,1,0,,,,,,
67,0,NA,1,NA,8.01490401811165E+017,NA,sventure007,0,0,0,,,,,,
68,0,0,NA,0,NA,8.01490361998684E+017,NA,US70707,41,1,0,,,,,
69,0,NA,0,NA,8.01490339978707E+017,NA,UnRealMohit,0,0,0,,,,,,
70,0,NA,0,NA,8.01490286597853E+017,NA,vtushar1960,76,1,0,,,,,,
71,0,NA,0,NA,8.01490253370585E+017,NA,HRajshri,1868,1,0,,,,,,
72,0,NA,0,NA,8.01490109572858E+017,NA,AllinoneIndia,0,0,0,,,,,,
73,0,NA,0,NA,8.01489955994223E+017,NA,manickam_sm,11,1,0,,,,,,
74,0,NA,0,NA,8.0148994867941E+017,NA,SanalSudev,12,1,0,,,,,,
75,0,NA,0,NA,8.01489948201386E+017,NA,VaidyaPriyam,30,1,0,,,,,,
76,0,NA,0,NA,8.0148983826029E+017,NA,imprakrut,2,1,0,,,,,,
77,0,NA,0,NA,8.01489661369553E+017,NA,everG3,1,1,0,,,,,,
78,0,NA,0,NA,8.01489632814735E+017,NA,Myth_Busterz,66,1,0,,,,,,
79,0,NA,1,NA,8.01489628880474E+017,NA,ganeshjoshibjp,0,0,0,,,,,,
80,0,NA,0,NA,8.01489588275417E+017,NA,ikumarashok,9,1,0,,,,,,
